f_WORD,f_LENG,f_FREQ,f_FLAG
aah,3,0,0
aardvark,8,21,1
aardvarks,9,0,0
abaci,5,0,0
aback,5,15,1
abacus,6,12,1
abacuses,8,1,1
abalone,7,26,1
abalones,8,6,1
abandon,7,413,1
abandoned,9,678,1
abandoning,10,86,1
abandonment,11,49,1
abandons,8,14,1
abase,5,3,1
abased,6,0,0
abasement,9,0,0
abases,6,0,0
abashed,7,0,0
abasing,7,0,0
abate,5,5,1
abated,6,4,1
abatement,9,3,1
abates,6,2,1
abating,7,1,1
abattoir,8,7,1
abattoirs,9,0,0
abbess,6,2,1
abbesses,8,1,1
abbey,5,162,1
abbeys,6,0,0
abbot,5,43,1
abbots,6,0,0
abbreviate,10,1,1
abbreviated,11,16,1
abbreviates,11,0,0
abbreviating,12,0,0
abbreviation,12,12,1
abbreviations,13,10,1
abdicate,8,9,1
abdicated,9,7,1
abdicates,9,1,1
abdicating,10,3,1
abdication,10,6,1
abdications,11,0,0
abdomen,7,171,1
abdomens,8,3,1
abdominal,9,174,1
abdominals,10,7,1
abduct,6,36,1
abducted,8,255,1
abductee,8,20,1
abductees,9,18,1
abducting,9,16,1
abduction,9,185,1
abductions,10,42,1
abductor,8,18,1
abductors,9,11,1
abducts,7,8,1
abed,4,10,1
aberrant,8,15,1
aberration,10,28,1
aberrations,11,8,1
abet,4,5,1
abets,5,0,0
abetted,7,8,1
abetting,8,26,1
abeyance,8,2,1
abhor,5,12,1
abhorred,8,7,1
abhorrence,10,0,0
abhorrent,9,9,1
abhorring,9,0,0
abhors,6,4,1
abide,5,138,1
abided,6,3,1
abides,6,4,1
abiding,7,25,1
abilities,9,312,1
ability,7,980,1
abject,6,20,1
abjectly,8,0,0
abjure,6,1,1
abjured,7,0,0
abjures,7,0,0
abjuring,8,0,0
ablation,8,1,1
ablative,8,0,0
ablatives,9,0,0
ablaze,6,21,1
able,4,8155,1
abler,5,1,1
ablest,6,2,1
ablution,8,3,1
ablutions,9,4,1
ably,4,9,1
abnegate,8,0,0
abnegated,9,0,0
abnegates,9,0,0
abnegating,10,0,0
abnegation,10,0,0
abnormal,8,148,1
abnormalities,13,25,1
abnormality,11,26,1
abnormally,10,0,0
aboard,6,1358,1
abode,5,33,1
abodes,6,0,0
abolish,7,24,1
abolished,9,20,1
abolishes,9,1,1
abolishing,10,2,1
abolition,9,10,1
abolitionist,12,11,1
abolitionists,13,13,1
abominable,10,32,1
abominably,10,0,0
abominate,9,3,1
abominated,10,0,0
abominates,10,0,0
abominating,11,0,0
abomination,11,58,1
abominations,12,7,1
aboriginal,10,9,1
aboriginals,11,1,1
aborigine,9,4,1
aborigines,10,9,1
abort,5,235,1
aborted,7,32,1
aborting,8,13,1
abortion,8,369,1
abortionist,11,4,1
abortionists,12,1,1
abortions,9,35,1
abortive,8,1,1
aborts,6,1,1
