f_WORD,f_LENG,f_FREQ,f_FLAG
АБАЖУР,6,5,1
АББАТ,5,2,1
АББАТСТВО,9,1,1
АББРЕВИАТУРА,12,4,1
АБВЕР,5,3,1
АБЕРРАЦИЯ,9,1,1
АБЗАЦ,5,10,1
АБИТУРИЕНТ,10,4,1
АБОНЕМЕНТ,9,2,1
АБОНЕНТ,7,11,1
АБОРДАЖ,7,1,1
АБОРИГЕН,8,6,1
АБОРТ,5,8,1
АБРАКАДАБРА,11,1,1
АБРЕК,5,1,0
АБРИКОС,7,3,1
АБРИС,5,1,1
АБСЕНТ,6,1,1
АБСОЛЮТ,7,3,1
АБСОЛЮТИЗАЦИЯ,13,1,1
АБСОЛЮТИЗМ,10,1,1
АБСОЛЮТНОСТЬ,12,0,0
АБСОРБЕНТ,9,0,0
АБСОРБЦИЯ,9,1,0
АБСТРАГИРОВАНИЕ,15,1,0
АБСТРАКЦИОНИЗМ,14,1,1
АБСТРАКЦИОНИСТ,14,1,1
АБСТРАКЦИЯ,10,6,1
АБСУРД,6,9,1
АБСУРДНОСТЬ,11,2,1
АБСЦЕСС,7,0,0
АБСЦИССА,8,1,0
АБХАЗ,5,1,1
АБХАЗЕЦ,7,1,1
АВАНГАРД,8,10,1
АВАНГАРДИЗМ,11,1,1
АВАНГАРДИСТ,11,2,1
АВАНС,5,7,1
АВАНСЦЕНА,9,3,1
АВАНТЮРА,8,6,1
АВАНТЮРИЗМ,10,1,1
АВАНТЮРИСТ,10,4,1
АВАНТЮРИСТКА,12,1,1
АВАРИЙНОСТЬ,11,1,1
АВАРИЯ,6,30,1
АВВА,4,1,0
АВГУСТ,6,91,1
АВЕНЮ,5,2,1
АВИА,4,1,0
АВИАБАЗА,8,2,1
АВИАБИЛЕТ,9,2,1
АВИАБОМБА,9,1,1
АВИАДВИГАТЕЛЬ,13,1,1
АВИАДИСПЕТЧЕР,13,1,1
АВИАЗАВОД,9,1,1
АВИАКАТАСТРОФА,14,1,1
АВИАКОМПАНИЯ,12,11,1
АВИАКОНСТРУКТОР,15,1,1
АВИАКРЫЛО,9,1,0
АВИАЛАЙНЕР,10,1,1
АВИАЛИНИЯ,9,2,1
АВИАНОСЕЦ,9,3,1
АВИАОТРЯД,9,0,0
АВИАПЕРЕВОЗКА,13,1,1
АВИАПЕРЕВОЗЧИК,14,1,1
АВИАПРЕДПРИЯТИЕ,15,1,0
АВИАПРОМ,8,1,1
