row1,row2,row3,row4
ABUT,BALE,LINE,ELAN
ACED,BADE,URGE,TEED
ACED,BADE,URGE,TEEM
ABED,BADE,URGE,TEED
ABED,BADE,URGE,TEEM
ABUT,BARE,EDGE,DEED
ABUT,BARE,EDGE,DEEM
ABET,BALE,ERAS,DENT
ABLE,BAIL,ULNA,TEEN
ABLY,CLUE,HULA,EELS
ACED,BLUE,EARN,TWOS
ABED,BARE,ELAN,TEST
ABLY,CLUE,MEGA,EWES
ABUT,BILE,LEND,ERAS
ABLY,CLUE,NANA,EGGS
ABLY,CLUE,ROTA,EWES
ABUT,BORE,EDGE,DEED
ABUT,BORE,EDGE,DEEM
ABUT,BORE,EDGE,DYED
ABUT,BORE,EDGE,DYES
ACED,BODE,URGE,TEED
ACED,BODE,URGE,TEEM
ACED,BODY,EDGE,DAYS
ABLE,BIER,ULNA,TEDS
ACED,BODY,URGE,TEED
ACED,BODY,URGE,TEES
ACED,BOGY,LOOK,ELSE
ABLY,CLUE,TUBA,SEER
ABLY,CLUE,TUBA,SEES
ABLE,BLAG,EURO,TEDS
ABLY,FLOE,AURA,REDS
ABUT,BURR,ERGO,DYED
ABUT,BURR,LOGO,EYED
ABLY,ILEA,DUNK,SETS
ABET,BLUE,LARD,EGOS
ABET,BLUE,LORD,EGOS
ABET,BLUE,LORE,EGOS
ABLE,BLOG,EURO,TEDS
ABLE,BLOG,EURO,TEES
ABED,BODE,URGE,TEED
ABED,BODE,URGE,TEEM
ABED,BODY,URGE,TEED
ABED,BODY,URGE,TEES
ACED,BRAY,LOSE,EWES
ABET,BOAR,LIRE,ELSE
ABET,BOAR,LITE,ELSE
ACED,CAPE,IRIS,DECK
ABLE,BOIL,EARS,TREE
ABUT,CARE,EDGE,DEED
ABUT,CARE,EDGE,DEEM
ABUT,CARE,EDGE,SEED
ABUT,CARE,EDGE,SEEM
ABUT,CARE,EDGE,SEEN
ABUT,CARE,EDGE,SEES
ABLE,BOIL,EATS,TREE
ABUT,CARE,EWES,SLAT
ABLE,BOIL,EONS,TREE
ABET,BOOR,LINE,ELSE
ABED,BRAY,LIRE,EONS
ABUT,CARE,IDEA,DEAL
ABUT,CARE,ILEA,DEAL
ABED,BRAY,LOSE,EWES
ACED,CAVE,TREE,SEND
ABED,BURY,URGE,TROD
ABLY,PLEA,PUNK,SETS
ABUT,CARE,TIER,SLAM
ABUT,CARE,TIES,SLAT
ABUT,CARE,TIES,STAT
ABLY,ROUE,CURL,STEP
ABUT,CARE,TREE,SEAM
ABUT,CARE,TREE,SEAS
ABLY,ROUE,EARL,STEP
ABLY,ROUE,IOTA,ARES
ABUT,CARE,TWEE,SLAM
ABED,CAME,IBIS,DARK
ABUT,CASE,IBEX,DART
ABUT,CASE,IDEA,DESK
ABUT,CASE,ILEA,DESK
ABUT,COLA,HANG,ERAS
ABED,CAPE,IBIS,DECK
ABED,CAPE,IRIS,DECK
ABUT,COLA,RANG,ERAS
ABLY,SLOE,PULL,SELL
ABET,CAME,IBIS,DART
ABLY,SLOE,PUPA,SEER
